   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 context.py:369(set_spawning_popen)
        4    0.000    0.000    0.000    0.000 process.py:189(name)
        4    0.000    0.000    0.000    0.000 process.py:213(authkey)
        4    0.000    0.000    0.001    0.000 process.py:747(_start_executor_manager_thread)
        4    0.000    0.000    0.000    0.000 threading.py:122(RLock)
        8    0.000    0.000    0.000    0.000 threading.py:620(set)
        4    0.000    0.000    0.001    0.000 threading.py:981(run)
       96    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       12    0.000    0.000    0.000    0.000 process.py:247(sentinel)
        4    0.000    0.000    0.000    0.000 subprocess.py:296(_optim_args_from_interpreter_flags)
       16    0.000    0.000    0.000    0.000 queues.py:368(close)
        4    0.000    0.000    0.021    0.005 process.py:780(_spawn_process)
        4    0.000    0.000    0.084    0.021 process.py:142(join)
       48    0.000    0.000    0.004    0.000 connection.py:70(arbitrary_address)
       16    0.000    0.000    0.003    0.000 queues.py:359(__init__)
        4    0.000    0.000    0.022    0.005 process.py:757(_adjust_process_count)
       16    0.000    0.000    0.002    0.000 process.py:816(map)
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        4    0.000    0.000    0.842    0.211 queues.py:145(join_thread)
        4    0.000    0.000    0.000    0.000 process.py:234(ident)
       16    0.000    0.000    0.003    0.000 context.py:110(SimpleQueue)
        8    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        8    0.000    0.000    0.002    0.000 reduction.py:58(dump)
      112    0.000    0.000    0.000    0.000 connection.py:135(_check_closed)
       32    0.000    0.000    0.000    0.000 connection.py:1119(<genexpr>)
        8    0.000    0.000    0.000    0.000 process.py:347(__reduce__)
        4    0.000    0.000    0.841    0.210 queues.py:212(_finalize_join)
        1    0.000    0.000    0.000    0.000 alphabet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:149(BoundedSemaphore)
       96    0.000    0.000    0.001    0.000 connection.py:131(__del__)
       32    0.000    0.000    0.000    0.000 connection.py:139(_check_readable)
       28    0.000    0.000    0.000    0.000 connection.py:143(_check_writable)
       52    0.000    0.000    0.000    0.000 connection.py:169(fileno)
       16    0.000    0.000    0.001    0.000 synchronize.py:151(__init__)
       12    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
       84    0.000    0.000    0.000    0.000 util.py:48(debug)
        4    0.000    0.000    0.000    0.000 subprocess.py:199(__init__)
        4    0.000    0.000    0.000    0.000 connection.py:246(recv)
       20    0.000    0.000    0.001    0.000 connection.py:342(_poll)
        4    0.000    0.000    0.000    0.000 queues.py:222(_finalize_close)
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:130(Semaphore)
        4    0.000    0.000    0.000    0.000 queues.py:375(__getstate__)
       20    0.000    0.000    0.000    0.000 queues.py:129(full)
        4    0.000    0.000    0.000    0.000 queues.py:138(close)
        1    0.000    0.000    0.000    0.000 synchronize.py:217(Condition)
        4    0.000    0.000    0.000    0.000 spawn.py:138(_check_not_importing_main)
       12    0.000    0.000    0.000    0.000 popen_spawn_win32.py:101(duplicate_for_child)
       48    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
       48    0.000    0.000    0.001    0.000 synchronize.py:121(_make_name)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 synchronize.py:166(Lock)
        8    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
        1    0.000    0.000    0.000    0.000 synchronize.py:191(RLock)
        1    0.000    0.000    0.000    0.000 spawn.py:36(set_executable)
        1    0.000    0.000    0.000    0.000 synchronize.py:370(Barrier)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:24(_path_eq)
       20    0.000    0.000    0.000    0.000 popen_spawn_win32.py:71(<genexpr>)
       12    0.000    0.000    0.000    0.000 spawn.py:92(<genexpr>)
        1    0.000    0.000    0.000    0.000 synchronize.py:328(Event)
       32    0.000    0.000    0.001    0.000 synchronize.py:168(__init__)
        4    0.000    0.000    0.001    0.000 popen_spawn_win32.py:30(_close_handles)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:40(Popen)
        8    0.000    0.000    0.000    0.000 popen_spawn_win32.py:123(poll)
       48    0.001    0.000    0.002    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 spawn.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       20    0.000    0.000    0.000    0.000 {method '_is_zero' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFA91808A0}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       32    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.deque' objects}
       20    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       16    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
       16    0.001    0.000    0.002    0.000 {method 'dump' of '_pickle.Pickler' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
      768    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001DAFB9DD580}
        4    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      768    0.000    0.000    0.000    0.000 {built-in method math.floor}
       12    0.002    0.000    0.002    0.000 {built-in method nt.stat}
        4    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       48    0.002    0.000    0.002    0.000 {built-in method nt.lstat}
      224    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        4    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       96    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot_ex}
       61    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
    97/21    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       37    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       60    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       84    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        8    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
       16    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
       48    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
        4    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
       20    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       36    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        8    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
      8/4    0.001    0.000    0.929    0.232 {method 'join' of '_thread._ThreadHandle' objects}
       49    0.000    0.000    0.000    0.000 {built-in method time.time}
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
       12    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        8    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _io.open}
        4    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
  116/113    0.000    0.000    0.000    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
        4    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_winapi.Overlapped' objects}
       32    0.000    0.000    0.000    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
      124    0.002    0.000    0.002    0.000 {built-in method _winapi.CloseHandle}
       48    0.001    0.000    0.001    0.000 {built-in method _winapi.ConnectNamedPipe}
       48    0.001    0.000    0.001    0.000 {built-in method _winapi.CreateFile}
       48    0.002    0.000    0.002    0.000 {built-in method _winapi.CreateNamedPipe}
        4    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
        4    0.016    0.004    0.016    0.004 {built-in method _winapi.CreateProcess}
       28    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       28    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
        4    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       16    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.PeekNamedPipe}
       40    0.001    0.000    0.001    0.000 {built-in method _winapi.ReadFile}
       48    0.000    0.000    0.000    0.000 {built-in method _winapi.SetNamedPipeHandleState}
       32    0.831    0.026    0.831    0.026 {built-in method _winapi.WaitForMultipleObjects}
       12    0.084    0.007    0.084    0.007 {built-in method _winapi.WaitForSingleObject}
       28    0.001    0.000    0.001    0.000 {built-in method _winapi.WriteFile}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        4    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
   285788    0.083    0.000    0.083    0.000 {method 'append' of 'list' objects}
       16    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
